crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	66.934578	3662	0.000000
281474976710655.000000	45.444931	3663	0.000000
281474976710655.000000	69.021935	3664	0.000000
281474976710655.000000	67.591904	3665	0.000000
281474976710655.000000	Inf	3666	0.000000
281474976710655.000000	65.510323	3667	0.000000
281474976710655.000000	61.921833	3668	0.000000
281474976710655.000000	53.699501	3669	0.000000
281474976710655.000000	64.774704	3670	0.000000
281474976710655.000000	64.105949	3671	0.000000
281474976710655.000000	64.339996	3672	0.000000
281474976710655.000000	60.450546	3673	0.000000
281474976710655.000000	60.160709	3674	0.000000
281474976710655.000000	40.991848	3675	0.000000
281474976710655.000000	63.271431	3676	0.000000
281474976710655.000000	37.788734	3677	0.000000
281474976710655.000000	38.288673	3678	0.000000
281474976710655.000000	57.150787	3679	0.000000
281474976710655.000000	36.917187	3680	0.000000
281474976710655.000000	62.282642	3681	0.000000
281474976710655.000000	58.007450	3682	0.000000
281474976710655.000000	58.845673	3683	0.000000
281474976710655.000000	47.482269	3684	0.000000
281474976710655.000000	42.125233	3685	0.000000
281474976710655.000000	58.608269	3686	0.000000
281474976710655.000000	55.033138	3687	0.000000
281474976710655.000000	36.971558	3688	0.000000
281474976710655.000000	43.031471	3689	0.000000
281474976710655.000000	57.456234	3690	0.000000
281474976710655.000000	77.578186	3691	0.000000
281474976710655.000000	54.424686	3692	0.000000
281474976710655.000000	53.651031	3693	0.000000
281474976710655.000000	54.182487	3694	0.000000
281474976710655.000000	41.161034	3695	0.000000
281474976710655.000000	53.078392	3696	0.000000
281474976710655.000000	38.416809	3697	0.000000
281474976710655.000000	51.907280	3698	0.000000
281474976710655.000000	49.955654	3699	0.000000
281474976710655.000000	41.619904	3700	0.000000
281474976710655.000000	97.936249	3701	0.000000
281474976710655.000000	51.457401	3702	0.000000
281474976710655.000000	57.020252	3703	0.000000
281474976710655.000000	68.329803	3704	0.000000
281474976710655.000000	41.303345	3705	0.000000
281474976710655.000000	47.972961	3706	0.000000
281474976710655.000000	45.530521	3707	0.000000
281474976710655.000000	37.708099	3708	0.000000
281474976710655.000000	39.258770	3709	0.000000
281474976710655.000000	54.485043	3710	0.000000
281474976710655.000000	40.174950	3711	0.000000
281474976710655.000000	78.995766	3712	0.000000
281474976710655.000000	39.375095	3713	0.000000
281474976710655.000000	52.716717	3714	0.000000
281474976710655.000000	64.564857	3715	0.000000
281474976710655.000000	56.700062	3716	0.000000
281474976710655.000000	43.035469	3717	0.000000
281474976710655.000000	38.248875	3718	0.000000
281474976710655.000000	46.943123	3719	0.000000
281474976710655.000000	36.436489	3720	0.000000
281474976710655.000000	42.097656	3721	0.000000
281474976710655.000000	53.968609	3722	0.000000
281474976710655.000000	41.518517	3723	0.000000
281474976710655.000000	48.858959	3724	0.000000
281474976710655.000000	35.610870	3725	0.000000
281474976710655.000000	35.676525	3726	0.000000
281474976710655.000000	35.000980	3727	0.000000
281474976710655.000000	39.903595	3728	0.000000
281474976710655.000000	41.589249	3729	0.000000
281474976710655.000000	44.396374	3730	0.000000
281474976710655.000000	34.394878	3731	0.000000
281474976710655.000000	33.779148	3732	0.000000
281474976710655.000000	35.509106	3733	0.000000
281474976710655.000000	41.724670	3734	0.000000
281474976710655.000000	32.972130	3735	0.000000
281474976710655.000000	38.154579	3736	0.000000
281474976710655.000000	31.569326	3737	0.000000
281474976710655.000000	32.328815	3738	0.000000
281474976710655.000000	31.607676	3739	0.000000
281474976710655.000000	38.120655	3740	0.000000
281474976710655.000000	31.876513	3741	0.000000
281474976710655.000000	44.366940	3742	0.000000
281474976710655.000000	35.001949	3743	0.000000
281474976710655.000000	38.335011	3744	0.000000
281474976710655.000000	29.056057	3745	0.000000
281474976710655.000000	30.715313	3746	0.000000
281474976710655.000000	41.638721	3747	0.000000
281474976710655.000000	29.436445	3748	0.000000
281474976710655.000000	38.857338	3749	0.000000
281474976710655.000000	28.966719	3750	0.000000
281474976710655.000000	28.025585	3751	0.000000
281474976710655.000000	31.940340	3752	0.000000
281474976710655.000000	27.861727	3753	0.000000
281474976710655.000000	30.449892	3754	0.000000
281474976710655.000000	27.377014	3755	0.000000
281474976710655.000000	33.934345	3756	0.000000
281474976710655.000000	35.452309	3757	0.000000
281474976710655.000000	37.402214	3758	0.000000
281474976710655.000000	28.410564	3759	0.000000
281474976710655.000000	35.810902	3760	0.000000
281474976710655.000000	26.338480	3761	0.000000
281474976710655.000000	33.042606	3762	0.000000
281474976710655.000000	25.967937	3763	0.000000
281474976710655.000000	25.175636	3764	0.000000
281474976710655.000000	32.630665	3765	0.000000
281474976710655.000000	33.363407	3766	0.000000
281474976710655.000000	28.196260	3767	0.000000
281474976710655.000000	28.551090	3768	0.000000
281474976710655.000000	31.865465	3769	0.000000
281474976710655.000000	28.038052	3770	0.000000
281474976710655.000000	30.945442	3771	0.000000
281474976710655.000000	28.167068	3772	0.000000
281474976710655.000000	25.827253	3773	0.000000
281474976710655.000000	31.504757	3774	0.000000
281474976710655.000000	28.864630	3775	0.000000
281474976710655.000000	26.176592	3776	0.000000
281474976710655.000000	27.700308	3777	0.000000
281474976710655.000000	28.288090	3778	0.000000
281474976710655.000000	27.236799	3779	0.000000
281474976710655.000000	24.767649	3780	0.000000
281474976710655.000000	24.696394	3781	0.000000
281474976710655.000000	26.282377	3782	0.000000
281474976710655.000000	23.054968	3783	0.000000
