num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
749	1059.038278	62.360023	0.222072	3.724614	38.602140
751	1061.097351	61.808674	0.243278	3.724845	42.902897
753	1063.157975	61.786511	0.159762	3.724873	37.057704
755	1065.217517	61.561311	0.181456	3.724205	40.275333
757	1067.277445	61.456805	0.134823	3.723906	41.660137
759	1069.338558	61.284489	0.112710	3.722783	39.983963
761	1071.397102	60.923190	0.086539	3.723049	40.098994
763	1073.458138	60.568474	0.062123	3.723892	37.297518
765	1075.516229	60.504546	0.049180	3.722479	40.247983
767	1077.575915	60.119119	0.013912	3.721873	39.458813
769	1079.635024	60.029886	0.019139	3.720341	38.963553
771	1081.695102	59.520736	-0.006554	3.721694	36.701358
773	1083.754491	59.334996	-0.050483	3.721520	37.632829
775	1085.813739	59.240685	-0.052156	3.721120	37.622440
777	1087.873248	58.828481	-0.083072	3.719744	38.665971
779	1089.932842	58.865111	-0.117423	3.720360	37.929206
781	1091.992802	58.467409	-0.153551	3.720879	37.202198
783	1094.052433	58.311646	-0.157350	3.720664	36.455493
785	1096.112960	58.063258	-0.195897	3.720599	37.123267
787	1098.172735	57.964111	-0.222426	3.720968	37.194232
789	1100.232746	57.686403	-0.250594	3.720814	36.547097
791	1102.293696	57.164092	-0.251526	3.719981	34.558116
793	1104.353298	57.188795	-0.287843	3.720228	36.112051
795	1106.413594	57.097662	-0.306801	3.719898	34.478810
797	1108.473794	56.830843	-0.325965	3.719447	36.086672
799	1110.534292	56.436758	-0.342914	3.719962	34.262568
801	1112.593340	56.281954	-0.365892	3.719785	35.019025
803	1114.654144	56.235800	-0.383802	3.718588	34.143450
805	1116.713512	56.137388	-0.403054	3.719395	34.166235
809	1120.832891	55.684460	-0.438217	3.719096	34.144893
811	1122.893269	55.260257	-0.483981	3.718488	33.697581
813	1124.952707	55.106264	-0.485784	3.717035	32.489838
815	1127.012396	54.801211	-0.517107	3.718619	32.421494
817	1129.072867	54.789418	-0.542506	3.717876	32.336160
819	1131.133066	54.570034	-0.566660	3.718563	31.877654
821	1133.192609	54.251769	-0.572221	3.717380	31.124091
823	1135.253669	53.842091	-0.586230	3.715227	31.913422
825	1137.314523	53.642533	-0.631449	3.716029	32.012242
827	1139.374899	53.473832	-0.636395	3.715768	31.454652
829	1141.435575	53.252191	-0.657889	3.713747	31.402497
831	1143.496003	53.333614	-0.670343	3.714469	31.862806
833	1145.556130	52.949952	-0.706448	3.713146	31.248573
835	1147.617090	52.848585	-0.729321	3.713067	30.727743
837	1149.677695	52.766800	-0.740546	3.713653	29.940572
839	1151.737373	52.319063	-0.749735	3.713073	28.677678
841	1153.798499	52.253886	-0.782787	3.712122	29.932759
843	1155.858142	52.185532	-0.785929	3.711315	30.576051
845	1157.917948	51.798410	-0.811219	3.711665	29.613629
847	1159.977246	51.761740	-0.830004	3.710665	29.624538
849	1162.037577	51.371278	-0.851847	3.710505	28.850192
851	1164.097059	51.390022	-0.879621	3.710211	29.603705
853	1166.155570	51.219535	-0.882266	3.709531	29.105393
855	1168.216217	51.017661	-0.901452	3.708465	28.548177
857	1170.275782	50.549229	-0.935122	3.708829	28.514842
859	1172.335264	50.572343	-0.932608	3.707797	28.401239
861	1174.394386	50.267796	-0.957967	3.707310	28.438056
863	1176.453968	50.117031	-0.963825	3.707325	27.764930
865	1178.513279	49.946790	-0.984040	3.707010	27.601438
867	1180.573289	49.712018	-1.013076	3.706168	26.997768
869	1182.632406	49.390589	-1.020582	3.705830	28.119238
871	1184.691791	49.427686	-0.971822	3.706055	26.854453
873	1186.752449	49.174135	-0.941107	3.704915	26.569754
875	1188.811733	48.872455	-0.968999	3.704872	27.530276
877	1190.871873	48.839495	-0.963699	3.704479	26.069941
879	1192.931576	48.818889	-0.971499	3.704005	26.375231
881	1194.991487	48.540420	-0.979837	3.704194	26.531683
883	1197.051178	48.515261	-0.997230	3.703681	25.069190
885	1199.112271	48.163118	-1.007733	3.703777	25.288677
887	1201.171650	48.125119	-1.033614	3.703976	25.145069
889	1203.231592	47.808275	-1.054705	3.703634	26.036338
891	1205.291211	47.698015	-1.065432	3.702992	25.181350
893	1207.350191	47.421275	-1.081478	3.702718	24.574741
895	1209.409293	47.342729	-1.114449	3.702618	24.694822
897	1211.469509	47.085402	-1.119033	3.701972	24.232457
899	1213.530473	46.579870	-1.142605	3.701921	25.123033
901	1215.589987	46.782997	-1.136298	3.701290	23.983190
903	1217.650273	46.513527	-1.146717	3.700684	24.049484
905	1219.710624	46.402601	-1.155216	3.700658	22.943002
907	1221.770360	46.148298	-1.176232	3.700347	23.969834
909	1223.830342	45.962608	-1.199171	3.699993	22.734490
911	1225.891179	45.811534	-1.205102	3.699337	23.574610
913	1227.949932	45.402197	-1.226153	3.698538	23.389789
915	1230.010033	45.258646	-1.247660	3.698238	23.244062
917	1232.071172	45.065677	-1.250476	3.696870	22.738055
919	1234.131372	45.154699	-1.272690	3.697196	22.257690
921	1236.191270	44.807901	-1.296100	3.696286	22.359889
923	1238.250791	44.443066	-1.294334	3.694949	21.857963
925	1240.310521	44.560128	-1.329455	3.695641	21.803302
927	1242.371247	44.383962	-1.323833	3.693488	22.742805
929	1244.431062	44.147049	-1.328976	3.694861	21.746855
931	1246.491319	44.058850	-1.356782	3.694523	22.154372
933	1248.552245	43.775286	-1.357879	3.693473	21.916979
935	1250.610970	43.539636	-1.366906	3.692869	21.472467
937	1252.671533	43.493252	-1.390605	3.692922	21.879476
939	1254.731250	43.212031	-1.390514	3.690110	21.369475
941	1256.789639	43.156023	-1.395081	3.691508	21.388738
943	1258.850136	43.006208	-1.421260	3.691346	20.784629
945	1260.910518	42.816934	-1.407316	3.690155	20.564331
947	1262.969036	42.763431	-1.430558	3.691231	19.993992
949	1265.029814	42.352798	-1.454880	3.686985	19.548799
951	1267.088421	42.328765	-1.449663	3.688280	19.954029
953	1269.148401	42.047601	-1.478827	3.686931	20.299517
955	1271.208913	42.125982	-1.484707	3.687357	19.917216
957	1273.268155	41.809677	-1.489598	3.687189	19.597654
959	1275.328413	41.688188	-1.493678	3.686562	18.428716
961	1277.388180	41.682436	-1.514319	3.686126	19.158031
963	1279.447014	41.445387	-1.511342	3.687229	18.814696
965	1281.506053	41.273406	-1.550208	3.685590	18.968770
967	1283.565252	41.095063	-1.548944	3.685316	19.081686
969	1285.625712	41.066230	-1.549075	3.684074	18.408125
971	1287.685155	40.852219	-1.557605	3.684009	18.579039
973	1289.744711	40.701678	-1.572650	3.684291	18.486413
975	1291.805535	40.526774	-1.585077	3.683626	18.383699
977	1293.864422	40.205145	-1.583109	3.683262	18.139876
979	1295.923395	40.275548	-1.598082	3.683919	18.233438
981	1297.983277	40.058327	-1.632360	3.683681	18.297763
983	1300.042659	39.906854	-1.620185	3.683274	18.317021
985	1302.102746	39.766130	-1.630167	3.682454	17.772023
987	1304.162936	39.638704	-1.652422	3.681574	16.508200
989	1306.221829	39.381680	-1.655916	3.681118	16.874671
991	1308.281738	39.203543	-1.649679	3.680401	17.431717
993	1310.339787	39.170667	-1.684625	3.678488	17.580710
995	1312.400482	38.971287	-1.684934	3.678485	17.119303
997	1314.460460	38.797230	-1.693021	3.679554	16.804663
