num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1135	75939.771254	65.418232	0.659741	3.151217	85.275037
1137	75941.837837	64.257722	0.676287	3.151434	80.718143
1139	75943.905543	63.255797	0.709783	3.151145	78.143828
1141	75945.973511	62.354539	0.717469	3.150392	78.562492
1143	75948.042050	61.250380	0.761992	3.150698	72.842362
1145	75950.109599	60.569486	0.753454	3.149683	72.417446
1147	75952.178310	59.415340	0.797017	3.147238	70.382282
1149	75954.245638	58.820870	0.872110	3.145915	67.261600
1151	75956.310791	57.882457	0.858469	3.151087	67.782180
1153	75958.376176	57.142433	0.843316	3.154929	64.259251
1155	75960.444000	55.725978	0.838914	3.153059	61.457164
1157	75962.513324	54.965523	0.830198	3.151153	60.168444
1159	75964.582655	53.852999	0.893266	3.149285	57.089365
1161	75966.650293	53.311530	0.958949	3.146795	55.169366
1163	75968.716325	52.700934	0.978740	3.149478	54.634882
1165	75970.781983	51.703022	0.969332	3.152849	52.487873
1167	75972.848791	50.846244	0.983069	3.155063	50.395426
1169	75974.915702	49.659984	0.973625	3.154374	48.736942
1171	75976.982508	48.914799	0.983221	3.153342	45.551612
1173	75979.050893	48.230983	0.992500	3.152333	45.409060
1175	75981.118284	47.358045	1.033475	3.152426	44.529752
1177	75983.184986	46.453809	1.017779	3.152171	43.070466
1179	75985.252708	45.884899	1.050034	3.151892	41.017302
1181	75987.318703	45.007078	1.039037	3.151993	39.087761
1183	75989.385993	43.670452	1.046964	3.152121	39.147878
1185	75991.454001	43.727475	1.059734	3.150824	37.811053
1187	75993.522876	42.719527	1.103207	3.151045	35.856755
1189	75995.592954	42.042489	1.107291	3.151855	35.648538
1191	75997.662060	41.260610	1.113649	3.154620	33.136621
1193	75999.730120	40.272268	1.135414	3.156534	31.956370
1195	76001.795322	40.178671	1.082756	3.155956	31.535817
1197	76003.859053	39.692916	1.071148	3.150770	29.647400
1199	76005.924977	38.872476	1.123891	3.148476	29.777522
1201	76007.992456	38.074251	1.144306	3.149603	29.082617
1203	76010.061371	37.499802	1.155118	3.150896	28.433003
1205	76012.130778	36.570700	1.130771	3.151586	27.170741
1209	76016.267625	35.419965	1.124010	3.155823	25.085998
1211	76018.335045	34.874872	1.136407	3.154903	23.536785
1213	76020.399536	34.341699	1.130403	3.153678	23.747758
1215	76022.466530	33.778678	1.122890	3.151762	22.832351
1217	76024.532181	33.050813	1.096727	3.152583	22.370664
1219	76026.599897	32.636849	1.121423	3.151625	21.468555
1221	76028.666602	32.038475	1.107130	3.152489	20.232965
1223	76030.734887	31.475349	1.116545	3.152163	19.298241
1225	76032.804253	30.841144	1.119657	3.151569	19.518716
1227	76034.872009	30.218784	1.104586	3.149840	17.818572
1229	76036.940906	29.764560	1.143460	3.148084	17.571566
1231	76039.006616	29.369200	1.125527	3.149347	16.054588
1233	76041.070700	28.756271	1.128157	3.152236	15.976158
1235	76043.134493	28.306154	1.086643	3.155966	16.116892
1237	76045.201141	27.578916	1.112369	3.159283	14.970480
1239	76047.266043	27.242985	1.073554	3.158449	14.763954
1241	76049.335677	26.641779	1.078827	3.153972	14.077339
1243	76051.404523	26.262364	1.032693	3.153888	14.647138
1245	76053.474776	25.584930	1.056966	3.151469	12.264562
1247	76055.543910	25.206685	1.069201	3.148795	12.311462
1249	76057.610701	24.886557	1.060484	3.150728	12.092235
1251	76059.676191	24.350557	1.085027	3.150283	11.205120
1253	76061.741320	24.006976	1.058272	3.155095	11.439635
1255	76063.805612	23.570628	1.047138	3.157162	11.114983
1257	76065.873564	23.175426	1.034640	3.156976	11.526135
1259	76067.938290	22.738969	1.026345	3.157658	10.540451
1261	76070.006444	22.274945	1.019950	3.156094	9.792796
1265	76074.138231	21.445243	0.990311	3.156836	8.728124
1267	76076.206807	20.995257	0.994437	3.155059	8.889652
1269	76078.276091	20.586833	0.990961	3.155621	8.896037
1271	76080.345353	20.217254	0.989346	3.158341	7.773458
1273	76082.414674	19.699524	0.978559	3.159381	8.032379
1275	76084.486612	19.303120	0.963880	3.162848	8.111234
1277	76086.553250	19.178133	0.961348	3.164359	7.439332
1279	76088.612036	18.920634	0.907413	3.162891	7.139961
1281	76090.680297	18.703927	0.974806	3.154504	7.133174
1283	76092.742102	18.204073	1.010679	3.151635	6.594052
1285	76094.807778	17.925431	0.997747	3.148710	6.770094
1287	76096.871814	17.373273	0.973983	3.155072	5.618239
1289	76098.940943	17.136382	0.994043	3.154199	5.858434
1291	76101.010887	16.795966	0.969276	3.156534	5.462614
1293	76103.084515	16.424717	0.942743	3.157156	5.305652
1295	76105.161861	16.256381	0.931381	3.159844	4.798812
1297	76107.223070	15.944264	0.887369	3.159296	4.463339
1299	76109.289062	15.768786	0.867715	3.159663	4.666805
1301	76111.361884	15.476466	0.848520	3.157550	4.346568
1303	76113.427195	15.099280	0.860795	3.155925	4.723000
1305	76115.490946	15.155078	0.825433	3.156771	3.487747
1307	76117.557008	14.623755	0.822450	3.155286	4.435620
1309	76119.625747	14.080115	0.825895	3.157098	3.877866
1311	76121.691498	13.949626	0.836452	3.154890	3.785684
1313	76123.752958	13.715662	0.848696	3.151519	3.604939
1315	76125.819163	13.645363	0.820951	3.156564	3.976595
1317	76127.879558	13.366644	0.816912	3.158944	3.710211
1319	76129.947735	13.048859	0.790440	3.165310	3.007339
1321	76132.006143	12.970680	0.753873	3.166163	3.449479
1323	76134.074103	12.546766	0.757568	3.163200	2.767106
