crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	78.223450	1136	0.000000
281474976710655.000000	36.086414	1137	0.000000
281474976710655.000000	35.171600	1138	0.000000
281474976710655.000000	84.197746	1139	0.000000
281474976710655.000000	46.700039	1140	0.000000
281474976710655.000000	77.826660	1141	0.000000
281474976710655.000000	75.996796	1142	0.000000
281474976710655.000000	72.925781	1143	0.000000
281474976710655.000000	76.412254	1144	0.000000
281474976710655.000000	72.379181	1145	0.000000
281474976710655.000000	35.322571	1146	0.000000
281474976710655.000000	74.523247	1147	0.000000
281474976710655.000000	68.004601	1148	0.000000
281474976710655.000000	70.445183	1149	0.000000
281474976710655.000000	50.645512	1150	0.000000
281474976710655.000000	40.170528	1151	0.000000
281474976710655.000000	62.680981	1152	0.000000
281474976710655.000000	71.794952	1153	0.000000
281474976710655.000000	98.482544	1154	0.000000
281474976710655.000000	44.756565	1155	0.000000
281474976710655.000000	39.707760	1156	0.000000
281474976710655.000000	59.082832	1157	0.000000
281474976710655.000000	57.740986	1158	0.000000
281474976710655.000000	43.598186	1159	0.000000
281474976710655.000000	60.219643	1160	0.000000
281474976710655.000000	55.904606	1161	0.000000
281474976710655.000000	52.235638	1162	0.000000
281474976710655.000000	41.132595	1163	0.000000
281474976710655.000000	50.853268	1164	0.000000
281474976710655.000000	54.531136	1165	0.000000
281474976710655.000000	51.752949	1166	0.000000
281474976710655.000000	48.574768	1167	0.000000
281474976710655.000000	68.625809	1168	0.000000
281474976710655.000000	39.685402	1169	0.000000
281474976710655.000000	46.428459	1170	0.000000
281474976710655.000000	47.790428	1171	0.000000
281474976710655.000000	38.380074	1172	0.000000
281474976710655.000000	44.329891	1173	0.000000
281474976710655.000000	42.863010	1174	0.000000
281474976710655.000000	38.375248	1175	0.000000
281474976710655.000000	42.026806	1176	0.000000
281474976710655.000000	35.099075	1177	0.000000
281474976710655.000000	41.423912	1178	0.000000
281474976710655.000000	48.085110	1179	0.000000
281474976710655.000000	38.563129	1180	0.000000
281474976710655.000000	33.889484	1181	0.000000
281474976710655.000000	33.576042	1182	0.000000
281474976710655.000000	30.737501	1183	0.000000
281474976710655.000000	45.006458	1184	0.000000
281474976710655.000000	46.537979	1185	0.000000
281474976710655.000000	35.287342	1186	0.000000
281474976710655.000000	35.644749	1187	0.000000
281474976710655.000000	31.995180	1188	0.000000
281474976710655.000000	29.632734	1189	0.000000
281474976710655.000000	37.116974	1190	0.000000
281474976710655.000000	33.529148	1191	0.000000
281474976710655.000000	36.944431	1192	0.000000
281474976710655.000000	33.846970	1193	0.000000
281474976710655.000000	27.754627	1194	0.000000
281474976710655.000000	29.459446	1195	0.000000
281474976710655.000000	31.650997	1196	0.000000
281474976710655.000000	25.511950	1197	0.000000
281474976710655.000000	24.286491	1198	0.000000
281474976710655.000000	27.724951	1199	0.000000
281474976710655.000000	29.900234	1200	0.000000
281474976710655.000000	28.642813	1201	0.000000
281474976710655.000000	28.761002	1202	0.000000
281474976710655.000000	28.657873	1203	0.000000
281474976710655.000000	22.704584	1204	0.000000
281474976710655.000000	27.152754	1205	0.000000
281474976710655.000000	23.815247	1206	0.000000
281474976710655.000000	27.074705	1207	0.000000
281474976710655.000000	22.542662	1208	0.000000
281474976710655.000000	22.498857	1209	0.000000
281474976710655.000000	25.055975	1210	0.000000
281474976710655.000000	24.985085	1211	0.000000
281474976710655.000000	24.296118	1212	0.000000
281474976710655.000000	24.879391	1213	0.000000
281474976710655.000000	23.112257	1214	0.000000
281474976710655.000000	20.102110	1215	0.000000
281474976710655.000000	22.176767	1216	0.000000
281474976710655.000000	20.313326	1217	0.000000
281474976710655.000000	19.093458	1218	0.000000
281474976710655.000000	21.236856	1219	0.000000
281474976710655.000000	20.273102	1220	0.000000
281474976710655.000000	18.550264	1221	0.000000
281474976710655.000000	21.120243	1222	0.000000
281474976710655.000000	18.522196	1223	0.000000
281474976710655.000000	19.276100	1224	0.000000
281474976710655.000000	18.482754	1225	0.000000
281474976710655.000000	17.605980	1226	0.000000
281474976710655.000000	17.510841	1227	0.000000
281474976710655.000000	16.684229	1228	0.000000
281474976710655.000000	16.432594	1229	0.000000
281474976710655.000000	16.458307	1230	0.000000
281474976710655.000000	16.023474	1231	0.000000
281474976710655.000000	15.940715	1232	0.000000
281474976710655.000000	16.375202	1233	0.000000
281474976710655.000000	16.427479	1234	0.000000
281474976710655.000000	14.859383	1235	0.000000
281474976710655.000000	14.071125	1236	0.000000
281474976710655.000000	14.554336	1237	0.000000
281474976710655.000000	14.261918	1238	0.000000
281474976710655.000000	14.008348	1239	0.000000
281474976710655.000000	14.413196	1240	0.000000
281474976710655.000000	14.585177	1241	0.000000
281474976710655.000000	14.031372	1242	0.000000
281474976710655.000000	13.129627	1243	0.000000
281474976710655.000000	12.888302	1244	0.000000
281474976710655.000000	11.882573	1245	0.000000
281474976710655.000000	12.328708	1246	0.000000
281474976710655.000000	12.249133	1247	0.000000
281474976710655.000000	11.825507	1248	0.000000
281474976710655.000000	11.487069	1249	0.000000
281474976710655.000000	11.765524	1250	0.000000
281474976710655.000000	11.166049	1251	0.000000
281474976710655.000000	11.619593	1252	0.000000
281474976710655.000000	11.110582	1253	0.000000
281474976710655.000000	10.817442	1254	0.000000
281474976710655.000000	10.871315	1255	0.000000
281474976710655.000000	10.608028	1256	0.000000
281474976710655.000000	10.400684	1257	0.000000
281474976710655.000000	10.124244	1258	0.000000
281474976710655.000000	9.781014	1259	0.000000
281474976710655.000000	9.361008	1260	0.000000
281474976710655.000000	9.421553	1261	0.000000
281474976710655.000000	9.525224	1262	0.000000
281474976710655.000000	8.794009	1263	0.000000
281474976710655.000000	8.630703	1264	0.000000
281474976710655.000000	8.680008	1265	0.000000
281474976710655.000000	8.277047	1266	0.000000
281474976710655.000000	8.414376	1267	0.000000
281474976710655.000000	8.383385	1268	0.000000
281474976710655.000000	8.180888	1269	0.000000
281474976710655.000000	7.830987	1270	0.000000
281474976710655.000000	7.692524	1271	0.000000
281474976710655.000000	7.363540	1272	0.000000
281474976710655.000000	7.643019	1273	0.000000
281474976710655.000000	7.325638	1274	0.000000
281474976710655.000000	7.219002	1275	0.000000
281474976710655.000000	7.026550	1276	0.000000
281474976710655.000000	6.919907	1277	0.000000
281474976710655.000000	6.639603	1278	0.000000
281474976710655.000000	6.879021	1279	0.000000
281474976710655.000000	6.423398	1280	0.000000
281474976710655.000000	6.379717	1281	0.000000
281474976710655.000000	6.411979	1282	0.000000
281474976710655.000000	6.210413	1283	0.000000
281474976710655.000000	6.098194	1284	0.000000
281474976710655.000000	5.868040	1285	0.000000
281474976710655.000000	5.955190	1286	0.000000
281474976710655.000000	5.718646	1287	0.000000
281474976710655.000000	5.570853	1288	0.000000
281474976710655.000000	5.764354	1289	0.000000
281474976710655.000000	5.348993	1290	0.000000
281474976710655.000000	5.344422	1291	0.000000
281474976710655.000000	5.053259	1292	0.000000
281474976710655.000000	5.050509	1293	0.000000
281474976710655.000000	4.870608	1294	0.000000
281474976710655.000000	4.822089	1295	0.000000
281474976710655.000000	4.671680	1296	0.000000
281474976710655.000000	4.510113	1297	0.000000
281474976710655.000000	4.458732	1298	0.000000
281474976710655.000000	4.442512	1299	0.000000
281474976710655.000000	4.302370	1300	0.000000
281474976710655.000000	4.284403	1301	0.000000
281474976710655.000000	4.135056	1302	0.000000
281474976710655.000000	4.088012	1303	0.000000
281474976710655.000000	3.956788	1304	0.000000
281474976710655.000000	3.913941	1305	0.000000
281474976710655.000000	3.882089	1306	0.000000
281474976710655.000000	3.776983	1307	0.000000
281474976710655.000000	3.709237	1308	0.000000
281474976710655.000000	3.713890	1309	0.000000
281474976710655.000000	3.582461	1310	0.000000
281474976710655.000000	3.563988	1311	0.000000
281474976710655.000000	3.410610	1312	0.000000
281474976710655.000000	3.372131	1313	0.000000
281474976710655.000000	3.359286	1314	0.000000
281474976710655.000000	3.295756	1315	0.000000
281474976710655.000000	3.183022	1316	0.000000
281474976710655.000000	3.089608	1317	0.000000
281474976710655.000000	3.113126	1318	0.000000
281474976710655.000000	3.026200	1319	0.000000
281474976710655.000000	2.949935	1320	0.000000
281474976710655.000000	2.842607	1321	0.000000
281474976710655.000000	2.894203	1322	0.000000
281474976710655.000000	2.802713	1323	0.000000
281474976710655.000000	2.719225	1324	0.000000
281474976710655.000000	2.664110	1325	0.000000
281474976710655.000000	2.618752	1326	0.000000
281474976710655.000000	2.570009	1327	0.000000
