crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	63.598995	3213	0.000000
281474976710655.000000	42.986195	3214	0.000000
281474976710655.000000	127.119034	3215	0.000000
281474976710655.000000	57.245483	3216	0.000000
281474976710655.000000	55.963688	3217	0.000000
281474976710655.000000	42.800491	3218	0.000000
281474976710655.000000	52.468201	3219	0.000000
281474976710655.000000	50.842464	3220	0.000000
281474976710655.000000	51.221226	3221	0.000000
281474976710655.000000	47.283646	3222	0.000000
281474976710655.000000	62.723045	3223	0.000000
281474976710655.000000	38.054188	3224	0.000000
281474976710655.000000	35.477703	3225	0.000000
281474976710655.000000	41.138172	3226	0.000000
281474976710655.000000	40.336468	3227	0.000000
281474976710655.000000	40.389629	3228	0.000000
281474976710655.000000	32.516685	3229	0.000000
281474976710655.000000	30.149351	3230	0.000000
281474976710655.000000	26.537085	3231	0.000000
281474976710655.000000	38.672768	3232	0.000000
281474976710655.000000	26.222572	3233	0.000000
281474976710655.000000	31.102478	3234	0.000000
281474976710655.000000	31.487665	3235	0.000000
281474976710655.000000	25.119844	3236	0.000000
281474976710655.000000	30.581476	3237	0.000000
281474976710655.000000	25.082638	3238	0.000000
281474976710655.000000	27.565838	3239	0.000000
281474976710655.000000	31.065128	3240	0.000000
281474976710655.000000	25.110239	3241	0.000000
281474976710655.000000	23.701931	3242	0.000000
281474976710655.000000	21.928062	3243	0.000000
281474976710655.000000	22.708693	3244	0.000000
281474976710655.000000	21.363474	3245	0.000000
281474976710655.000000	18.282742	3246	0.000000
281474976710655.000000	18.856045	3247	0.000000
281474976710655.000000	17.356222	3248	0.000000
281474976710655.000000	18.931122	3249	0.000000
281474976710655.000000	17.110987	3250	0.000000
281474976710655.000000	17.397600	3251	0.000000
281474976710655.000000	13.241703	3252	0.000000
281474976710655.000000	13.336610	3253	0.000000
281474976710655.000000	14.763002	3254	0.000000
281474976710655.000000	14.397800	3255	0.000000
281474976710655.000000	14.267086	3256	0.000000
281474976710655.000000	13.188054	3257	0.000000
281474976710655.000000	12.596404	3258	0.000000
281474976710655.000000	11.309492	3259	0.000000
281474976710655.000000	12.186975	3260	0.000000
281474976710655.000000	11.590997	3261	0.000000
281474976710655.000000	10.522097	3262	0.000000
281474976710655.000000	10.193644	3263	0.000000
281474976710655.000000	10.303784	3264	0.000000
281474976710655.000000	9.770357	3265	0.000000
281474976710655.000000	8.834086	3266	0.000000
281474976710655.000000	8.968861	3267	0.000000
281474976710655.000000	8.139614	3268	0.000000
281474976710655.000000	8.016285	3269	0.000000
281474976710655.000000	7.503585	3270	0.000000
281474976710655.000000	7.351586	3271	0.000000
281474976710655.000000	7.121684	3272	0.000000
281474976710655.000000	6.903950	3273	0.000000
281474976710655.000000	6.500948	3274	0.000000
281474976710655.000000	6.256676	3275	0.000000
281474976710655.000000	6.166656	3276	0.000000
281474976710655.000000	5.719820	3277	0.000000
281474976710655.000000	5.588063	3278	0.000000
281474976710655.000000	5.313459	3279	0.000000
281474976710655.000000	5.369623	3280	0.000000
281474976710655.000000	5.094286	3281	0.000000
281474976710655.000000	4.873560	3282	0.000000
281474976710655.000000	4.625808	3283	0.000000
