num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3509	4401.012155	58.340641	1.936387	0.509454	61.106165
3511	4403.073752	57.192568	1.991702	0.493377	56.435072
3513	4405.137447	55.147001	2.040046	0.492964	55.300926
3515	4407.205731	53.755950	1.965267	0.496983	52.986636
3517	4409.274832	52.287056	1.936484	0.501765	48.759077
3519	4411.341566	50.789919	1.909109	0.506410	49.123643
3521	4413.411562	49.038585	1.788183	0.505951	43.059451
3523	4415.490405	47.901603	1.655423	0.491429	40.794914
3525	4417.559889	46.905442	1.779894	0.486175	41.399616
3527	4419.618267	46.056952	1.881002	0.505029	36.637368
3529	4421.684043	44.148549	1.598057	0.516440	38.062619
3531	4423.762077	42.565661	1.428105	0.492929	36.060035
3533	4425.836001	41.827841	1.602700	0.486502	31.769153
3535	4427.895446	40.794901	1.585427	0.497918	29.293062
3537	4429.956890	39.673641	1.485079	0.506655	29.341049
3539	4432.023428	38.317346	1.412161	0.505881	26.860989
3541	4434.091518	37.178265	1.342124	0.502608	26.118468
3543	4436.160521	36.257406	1.286889	0.497804	24.415745
3545	4438.228087	34.990733	1.236914	0.493951	23.810840
3547	4440.300768	33.639195	1.250980	0.494678	20.686418
3549	4442.374194	32.830001	1.248199	0.501639	21.824368
3551	4444.450027	32.102951	1.161020	0.513208	19.578385
3553	4446.515653	31.650580	1.010603	0.506657	18.019650
3555	4448.571195	30.572077	0.957821	0.489006	17.508178
3557	4450.633709	29.499880	0.972581	0.480311	16.893647
3559	4452.705891	28.125034	0.986623	0.489882	15.348716
3561	4454.782573	27.644903	0.930918	0.497165	15.005222
3563	4456.856454	26.714609	0.846738	0.498303	13.891469
3565	4458.925458	26.216205	0.772406	0.497727	13.241028
3567	4460.995278	25.398899	0.766611	0.491106	12.624714
3569	4463.060147	24.715206	0.718965	0.488542	12.510651
3571	4465.121975	24.142348	0.738127	0.488714	10.895919
3573	4467.178935	23.394002	0.749630	0.498239	9.962999
3575	4469.233509	22.521994	0.711937	0.512078	9.377201
3579	4473.387075	20.988445	0.519747	0.494008	9.108374
3581	4475.470000	20.429745	0.509089	0.477264	8.411683
3583	4477.539155	20.069877	0.521107	0.477292	7.187971
3585	4479.601121	19.411785	0.521339	0.491446	7.228750
3587	4481.660098	18.788489	0.491921	0.491310	6.694600
3589	4483.723845	18.273559	0.461235	0.489531	6.861972
3591	4485.798164	17.744547	0.464242	0.489649	5.463874
3593	4487.866066	17.111973	0.410876	0.497917	6.141498
3595	4489.942604	16.533448	0.371569	0.508456	5.666295
3597	4492.011911	16.247520	0.374647	0.510341	5.068009
3599	4494.072926	16.162865	0.306992	0.505898	4.447051
3601	4496.121789	15.642683	0.285778	0.487937	4.116515
3603	4498.172856	14.955629	0.227094	0.480074	4.012376
3605	4500.228704	14.254467	0.180879	0.475728	3.259067
